"id" "count" "brand" "price.max" "price.min" "urls" "colors" "name" "Onlinemerchant" "price.avg_USD" "weight_KG" "date_trend"
"1" "AVpe-CkrilAPnD_xSCH8" 1 "Others" 133.0498 133.0498 "http://ecx.images-amazon.com/images/I/41Bu-4hRZqL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31SXg7uT3aL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31SXg7uT3aL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41dMWUyhfbL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41Bu-4hRZqL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31SXg7uT3aL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41dMWUyhfbL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31SXg7uT3aL._SY300_QL70_.jpg" "White" "Yu&yu Pvc Women's Stiletto Heel Platform Slippers Shoes(more Colors)" "Amazon.ca" 133 0.499 37.0000000000018
"2" "AVpe-gAHLJeJML43zoc4" 2 "Others" 35.2882 35.2882 "http://ecx.images-amazon.com/images/I/41mEnjoj6IL._SY395_QL70_.jpg, http://ecx.images-amazon.com/images/I/41mEnjoj6IL._US40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41mEnjoj6IL._SY395_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41mEnjoj6IL._US40_.jpg, http://ecx.images-amazon.com/images/I/41mEnjoj6IL._SY300_.jpg, http://ecx.images-amazon.com/images/I/41mEnjoj6IL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41mEnjoj6IL._SY300_QL70_.jpg" "Black" "Ankle Boot W/fleece" "UrbanInspirations" 35 0.181 37.0000000000018
"3" "AVpe-MaO1cnluZ0-bC4c" 1 "Others" 56.5458 56.5458 "http://ecx.images-amazon.com/images/I/31F4Dv-KkYL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31F4Dv-KkYL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41aQ2L4drYL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41wflkeyRvL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41aOzrI831L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41wflkeyRvL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31IQpMjGJBL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41aQ2L4drYL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41aOzrI831L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41KRPJ%2B4nlL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41aQ2L4drYL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/41KRPJ%2B4nlL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31IQpMjGJBL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41aQ2L4drYL._SY300_QL70_.jpg" "White" "Yu&yu Women's Flat Heel Comfort Fashion Sneakers With Lace-up Shoes(more Colors)" "Amazon.ca" 57 0.499 37.0000000000018
"4" "AVpe-MXy1cnluZ0-bC3u" 1 "Others" 62.78 62.78 "https://images-na.ssl-images-amazon.com/images/I/413IWOuzR1L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/413IWOuzR1L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41fXF2GdvWL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41LqzpTjF3L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41bii8tBv0L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41N6Kw-pOWL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41Z1c-vi-jL._SS40_.jpg" "Other" "Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia , Pink-us6.5-7 / Eu37 / Uk4.5-5 / Cn37 , Pink-us6.5-7 / Eu37 / Uk4.5-5 / Cn37" "YuTin Jia" 63 0.599 28.0000000000018
"5" "AVpe-OD51cnluZ0-bDgT" 1 "Others" 133.0498 133.0498 "http://ecx.images-amazon.com/images/I/41gCTa7SgPL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41A%2BgZLvBZL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41P9F6SEvfL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41P9F6SEvfL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41P9F6SEvfL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41gCTa7SgPL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41P9F6SEvfL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41A%2BgZLvBZL._SS40_.jpg" "Black" "Yu&yu Women's Shoes Comfort Pointed Toe Wedge Heel Loafers Shoes More Colors Available" "Amazon.ca" 133 0.499 37.0000000000018
"6" "AVpe-oEqLJeJML43zrRj" 1 "Others" 77.7742 77.7742 "https://images-na.ssl-images-amazon.com/images/I/31Edw%2Bl%2ByrL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31Edw%2Bl%2ByrL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51tOdyse%2BhL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51tOdyse%2BhL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/31mYF5W2DBL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31J2oajR%2B9L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41phFNmHPkL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51tOdyse%2BhL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/41phFNmHPkL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51tOdyse%2BhL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31J2oajR%2B9L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31mYF5W2DBL._SS40_.jpg" "White" "Yu&yu Women's Shoes Round Toe Low Heel Oxfords Shoes More Colors Available" "Amazon.ca" 78 0.499 37.0000000000018
"7" "AVpe-OypilAPnD_xSGjG" 1 "Others" 45.2381 45.2381 "https://images-na.ssl-images-amazon.com/images/I/31OSPgLcBaL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/314CCf4-0NL._SS40_.jpg, http://ecx.images-amazon.com/images/I/318xrzEPoML._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31OZhJlzEFL._SS40_.jpg, http://ecx.images-amazon.com/images/I/314CCf4-0NL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31%2BmlUeFYtL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31%2BmlUeFYtL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41%2BomvWsFSL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41%2BomvWsFSL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31OZhJlzEFL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31%2BmlUeFYtL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31%2BmlUeFYtL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/318xrzEPoML._SS40_.jpg, http://ecx.images-amazon.com/images/I/31OSPgLcBaL._SS40_.jpg" "Blue" "Yu&yu Women's Shoes Comfort Pointed Toe Flat Heel Flocking Loafers Shoes More Colors Available" "Amazon.ca" 45 0.499 37.0000000000018
"8" "AVpe-pHeLJeJML43zroC" 1 "Others" 64.24 64.24 "https://images-na.ssl-images-amazon.com/images/I/41uHefzf66L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uHefzf66L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41vtIf-IpwL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ytYjv9RxL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41nEr7EvL-L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41GEr0m35JL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ytzKga43L._SS40_.jpg" "Other" "Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia , Black-us7.5 / Eu38 / Uk5.5 / Cn38 , Black-us7.5 / Eu38 / Uk5.5 / Cn38" "YuTin Jia" 64 0.599 28.0000000000018
"9" "AVpe-pKAilAPnD_xSP-X" 1 "Others" 52.56 52.56 "https://images-na.ssl-images-amazon.com/images/I/51%2BC5M4Iv0L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/51%2BC5M4Iv0L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51LrvDTBy%2BL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51Hch3gSy-L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51p1P9Hkc2L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/513jIN6y82L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51pd2qp4XDL._SS40_.jpg" "Other" "Sneed- Non Customizable Women's Dance Shoes Latin Suede Cuban Heel Outdoor More Colors , Blue-us6.5-7 / Eu37 / Uk4.5-5 / Cn37 , Blue-us6.5-7 / Eu37 / Uk4.5-5 / Cn37" "YuTin Jia" 53 0.599 28.0000000000018
"10" "AVpe-rd2ilAPnD_xSQwX" 1 "Others" 98.2507 98.2507 "http://ecx.images-amazon.com/images/I/51Do8wHaQSL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31L4Z0xCPxL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/41Tix7HToLL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31L4Z0xCPxL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41Tix7HToLL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31L4Z0xCPxL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41rnnXQU0YL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51AjGGPzqBL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51AjGGPzqBL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31L4Z0xCPxL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51xc2MJYBbL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51xc2MJYBbL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41rnnXQU0YL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51Do8wHaQSL._SS40_.jpg" "Blue" "Yu&yu Women's Shoes Round Toe Chunky Heel Oxfords Shoes More Colors Available" "Amazon.ca" 98 0.499 37.0000000000018
